date,TCB_code,TCB_high,TCB_low,TCB_open,TCB_close,TCB_adjust,TCB_volume_match,TCB_value_match
2023-09-21,TCB,34.5,34.0,34.35,34.3,16.63,3165600.0,108437000000.0
2023-09-20,TCB,34.5,33.85,33.9,34.35,16.66,3426300.0,116999000000.0
2023-09-19,TCB,34.35,33.8,34.3,33.9,16.44,5864300.0,199401000000.0
2023-09-18,TCB,35.0,34.0,34.85,34.1,16.54,7730100.0,266191000000.0
2023-09-15,TCB,35.5,34.9,35.1,34.9,16.92,4523900.0,159031000000.0
2023-09-14,TCB,35.75,34.9,35.1,34.9,16.92,7642600.0,270009000000.0
2023-09-13,TCB,35.45,34.85,35.4,35.0,16.97,4978100.0,175163000000.0
2023-09-12,TCB,35.3,34.4,34.55,35.3,17.12,4935900.0,171598000000.0
2023-09-11,TCB,35.6,34.45,35.6,34.55,16.75,10812100.0,377826000000.0
2023-09-08,TCB,35.9,35.35,35.85,35.35,17.14,4602900.0,164069000000.0
2023-09-07,TCB,36.15,35.1,35.25,35.75,17.34,9044800.0,322714000000.0
2023-09-06,TCB,35.35,34.85,35.05,35.2,17.07,4653200.0,163120000000.0
2023-09-05,TCB,35.15,34.75,34.8,35.0,16.97,7998900.0,279663000000.0
2023-08-31,TCB,34.5,34.1,34.1,34.5,16.73,4121700.0,141684000000.0
2023-08-30,TCB,34.3,33.9,34.0,34.0,16.49,4267500.0,145348000000.0
2023-08-29,TCB,34.25,33.75,34.0,33.9,16.44,3702500.0,125741000000.0
2023-08-28,TCB,34.1,33.6,33.85,34.0,16.49,4017200.0,136001000000.0
2023-08-25,TCB,33.85,33.4,33.7,33.65,16.32,3638000.0,122298000000.0
2023-08-24,TCB,33.95,33.4,33.5,33.8,16.39,4814900.0,162478000000.0
2023-08-23,TCB,34.2,33.2,34.0,33.2,16.1,9087900.0,306332000000.0
2023-08-22,TCB,33.1,31.9,32.75,33.1,16.05,6716400.0,217872000000.0
2023-08-21,TCB,32.95,32.1,32.5,32.75,15.88,5356600.0,174685000000.0
2023-08-18,TCB,34.55,32.45,34.55,32.5,15.76,13220000.0,442052000000.0
2023-08-17,TCB,35.3,34.7,35.3,34.7,16.83,5308300.0,185710000000.0
2023-08-16,TCB,35.35,33.95,34.0,35.3,17.12,13197300.0,461073000000.0
2023-08-15,TCB,34.4,33.85,33.9,34.05,16.51,4610800.0,156993000000.0
2023-08-14,TCB,33.8,33.45,33.75,33.8,16.39,4574500.0,153723000000.0
2023-08-11,TCB,33.8,33.1,33.55,33.65,16.32,5907600.0,197241000000.0
2023-08-10,TCB,34.05,33.5,34.0,33.5,16.24,6166000.0,207788000000.0
2023-08-09,TCB,34.2,33.8,34.05,34.0,16.49,4668500.0,158441000000.0
2023-08-08,TCB,34.5,33.95,34.4,34.0,16.49,5539100.0,189417000000.0
2023-08-07,TCB,34.45,34.0,34.2,34.35,16.66,5256500.0,180062000000.0
2023-08-04,TCB,34.2,33.45,33.65,33.6,16.29,12322800.0,414286000000.0
2023-08-03,TCB,34.05,33.5,34.0,33.5,16.24,4171200.0,140781000000.0
2023-08-02,TCB,34.1,33.75,33.9,33.9,16.44,4644300.0,157670000000.0
2023-08-01,TCB,34.6,34.0,34.6,34.0,16.49,8659400.0,297774000000.0
2023-07-31,TCB,34.6,34.0,34.1,34.3,16.63,7648800.0,262345000000.0
2023-07-28,TCB,33.8,33.0,33.05,33.8,16.39,5630800.0,187668000000.0
2023-07-27,TCB,33.45,32.7,33.35,33.1,16.05,7797000.0,257944000000.0
2023-07-26,TCB,33.55,33.2,33.5,33.45,16.22,3413000.0,113812000000.0
2023-07-25,TCB,33.8,32.7,32.8,33.5,16.24,13269100.0,444043000000.0
2023-07-24,TCB,32.5,32.15,32.45,32.45,15.74,4832200.0,156161000000.0
2023-07-21,TCB,32.3,31.85,31.85,32.3,15.66,5206200.0,166485000000.0
2023-07-20,TCB,32.4,31.8,32.4,31.9,15.47,5263800.0,168269000000.0
2023-07-19,TCB,32.9,32.25,32.65,32.3,15.66,5556900.0,180809000000.0
2023-07-18,TCB,32.3,31.8,31.9,32.3,15.66,6508500.0,208369000000.0
2023-07-17,TCB,32.1,31.8,32.1,31.9,15.47,3652700.0,116569000000.0
2023-07-14,TCB,32.2,31.7,32.2,31.95,15.49,4472000.0,142411000000.0
2023-07-13,TCB,32.0,31.65,31.7,31.95,15.49,4412100.0,140476000000.0
2023-07-12,TCB,32.0,31.6,31.9,31.65,15.35,4341600.0,137808000000.0
2023-07-11,TCB,32.35,31.95,32.2,31.95,15.49,5708100.0,183328000000.0
2023-07-10,TCB,32.1,31.7,32.0,32.0,15.52,4982800.0,159037000000.0
2023-07-07,TCB,31.8,31.3,31.5,31.55,15.3,3274400.0,103072000000.0
2023-07-06,TCB,32.05,31.2,31.95,31.55,15.3,6311500.0,199561000000.0
2023-07-05,TCB,32.4,31.95,32.15,31.95,15.49,4323800.0,138694000000.0
2023-07-04,TCB,32.1,31.85,32.0,32.0,15.52,4327000.0,138138000000.0
2023-07-03,TCB,32.7,32.0,32.7,32.0,15.52,3753900.0,120856000000.0
2023-06-30,TCB,32.8,32.35,32.65,32.35,15.69,2448500.0,79679000000.0
2023-06-29,TCB,33.4,32.65,33.3,32.65,15.83,3538900.0,116299000000.0
2023-06-28,TCB,33.3,32.75,32.95,33.3,16.15,4303400.0,141951000000.0
2023-06-27,TCB,33.4,32.9,33.3,32.95,15.98,3665500.0,121267000000.0
2023-06-26,TCB,33.3,32.55,32.9,33.3,16.15,4044900.0,132887000000.0
2023-06-23,TCB,33.25,32.55,32.65,32.9,15.95,4144400.0,136370000000.0
2023-06-22,TCB,33.15,32.6,32.9,32.6,15.81,4395200.0,144461000000.0
2023-06-21,TCB,32.5,32.1,32.15,32.5,15.76,2506800.0,80984000000.0
2023-06-20,TCB,32.25,31.95,32.2,32.15,15.59,2084400.0,66883000000.0
2023-06-19,TCB,32.55,31.95,32.55,32.1,15.57,3674300.0,118149000000.0
2023-06-16,TCB,33.45,32.5,32.65,32.55,15.78,6928400.0,228211000000.0
2023-06-15,TCB,32.9,32.4,32.6,32.65,15.83,3863700.0,125930000000.0
2023-06-14,TCB,33.45,32.55,33.0,32.6,15.81,5374800.0,177270000000.0
2023-06-13,TCB,32.9,32.4,32.7,32.8,15.9,3529000.0,115287000000.0
2023-06-12,TCB,32.85,31.9,32.25,32.7,15.86,4136800.0,133435000000.0
2023-06-09,TCB,32.5,31.6,31.8,32.4,15.71,5315500.0,170124000000.0
2023-06-08,TCB,32.75,31.75,32.7,31.75,15.4,5741200.0,185256000000.0
2023-06-07,TCB,32.75,32.2,32.55,32.6,15.81,4964100.0,161168000000.0
2023-06-06,TCB,32.7,31.75,31.9,32.7,15.86,6000100.0,193587000000.0
2023-06-05,TCB,32.8,31.9,32.45,31.9,15.47,5861900.0,189514000000.0
2023-06-02,TCB,32.2,30.7,30.8,32.2,15.61,13798700.0,436724000000.0
2023-06-01,TCB,30.3,29.75,30.0,30.3,14.69,4776200.0,143539000000.0
2023-05-31,TCB,30.3,29.9,30.2,29.95,14.52,3944600.0,118379000000.0
2023-05-30,TCB,30.45,30.0,30.4,30.2,14.64,2100900.0,63325000000.0
2023-05-29,TCB,30.2,29.8,30.0,30.2,14.64,2765200.0,82982000000.0
2023-05-26,TCB,29.95,29.65,29.9,29.9,14.5,1794600.0,53411000000.0
2023-05-25,TCB,29.9,29.6,29.8,29.8,14.45,2521600.0,74960000000.0
2023-05-24,TCB,30.55,29.75,30.4,29.8,14.45,4818900.0,144891000000.0
2023-05-23,TCB,30.7,30.0,30.7,30.35,14.72,4205200.0,127639000000.0
2023-05-22,TCB,30.6,29.7,29.7,30.5,14.79,9444100.0,286290000000.0
2023-05-19,TCB,29.75,29.25,29.55,29.65,14.38,3397600.0,100159000000.0
2023-05-18,TCB,29.7,29.25,29.25,29.55,14.33,3215500.0,94654000000.0
2023-05-17,TCB,29.9,29.25,29.7,29.25,14.18,3659200.0,108204000000.0
2023-05-16,TCB,30.1,29.75,30.1,29.8,14.45,2075700.0,62021000000.0
2023-05-15,TCB,30.15,29.4,29.45,29.9,14.5,7336200.0,219602000000.0
2023-05-12,TCB,29.3,29.0,29.1,29.3,14.21,2625300.0,76478000000.0
2023-05-11,TCB,29.5,29.1,29.5,29.1,14.11,2514400.0,73549000000.0
2023-05-10,TCB,29.4,29.1,29.35,29.3,14.21,2523100.0,73786000000.0
2023-05-09,TCB,29.5,29.05,29.45,29.3,14.21,1990400.0,58098000000.0
2023-05-08,TCB,29.4,28.7,28.9,29.4,14.26,2847500.0,82469000000.0
2023-05-05,TCB,29.2,28.45,29.05,28.7,13.92,3437700.0,98825000000.0
2023-05-04,TCB,29.5,28.9,29.5,29.05,14.09,1917900.0,56035000000.0
2023-04-28,TCB,29.95,29.5,29.95,29.5,14.3,2477700.0,73685000000.0
2023-04-27,TCB,30.2,29.85,30.2,29.9,14.5,2031600.0,60921000000.0
2023-04-26,TCB,30.0,28.85,29.2,30.0,14.55,3239100.0,95268000000.0
2023-04-25,TCB,29.85,29.0,29.65,29.0,14.06,2086300.0,61395000000.0
2023-04-24,TCB,29.75,28.65,28.7,29.5,14.3,3483000.0,102157000000.0
2023-04-21,TCB,29.0,28.7,29.0,28.7,13.92,2354900.0,67888000000.0
2023-04-20,TCB,29.0,28.55,28.9,28.85,13.99,2314000.0,66619000000.0
2023-04-19,TCB,29.4,29.0,29.2,29.0,14.06,2611900.0,76164000000.0
2023-04-18,TCB,29.4,28.9,29.4,29.15,14.13,2553900.0,74366000000.0
2023-04-17,TCB,29.45,28.75,29.0,29.45,14.28,3014200.0,87803000000.0
2023-04-14,TCB,30.4,28.9,30.2,28.9,14.01,9435600.0,277391000000.0
2023-04-13,TCB,30.95,30.2,30.6,30.2,14.64,3214600.0,98082000000.0
2023-04-12,TCB,30.95,30.1,30.4,30.7,14.89,4505500.0,137783000000.0
2023-04-11,TCB,30.4,29.6,30.2,30.4,14.74,5209800.0,156077000000.0
2023-04-10,TCB,30.8,29.6,29.65,30.2,14.64,5660400.0,171355000000.0
2023-04-07,TCB,29.7,29.4,29.65,29.55,14.33,4094900.0,120968000000.0
2023-04-06,TCB,30.2,29.35,29.35,29.6,14.35,7828100.0,233050000000.0
2023-04-05,TCB,29.6,29.2,29.4,29.5,14.3,4329800.0,127152000000.0
2023-04-04,TCB,29.5,29.05,29.3,29.5,14.3,7303300.0,214499000000.0
2023-04-03,TCB,29.35,28.7,29.0,29.3,14.21,12424400.0,362454000000.0
2023-03-31,TCB,28.4,27.8,27.8,28.35,13.75,7220300.0,203938000000.0
2023-03-30,TCB,28.5,27.7,28.35,27.7,13.43,4898700.0,137561000000.0
2023-03-29,TCB,28.3,27.5,27.55,28.0,13.58,5720700.0,160517000000.0
2023-03-28,TCB,27.7,26.7,26.7,27.55,13.36,7664400.0,210134000000.0
2023-03-27,TCB,26.7,26.35,26.45,26.5,12.85,1537100.0,40763000000.0
2023-03-24,TCB,26.7,26.3,26.4,26.45,12.83,1955600.0,51916000000.0
2023-03-23,TCB,26.35,25.85,26.2,26.2,12.7,2369000.0,61766000000.0
2023-03-22,TCB,26.6,26.2,26.45,26.2,12.7,2471700.0,65228000000.0
2023-03-21,TCB,26.6,26.1,26.5,26.35,12.78,1997800.0,52587000000.0
2023-03-20,TCB,26.6,26.25,26.5,26.25,12.73,2286500.0,60377000000.0
2023-03-17,TCB,27.1,26.6,26.8,26.65,12.92,1199600.0,32164000000.0
2023-03-16,TCB,26.95,26.35,26.9,26.75,12.97,2661700.0,71039000000.0
2023-03-15,TCB,27.4,26.8,26.8,27.2,13.19,2361600.0,64007000000.0
2023-03-14,TCB,26.75,26.3,26.65,26.3,12.75,2469900.0,65605000000.0
2023-03-13,TCB,26.95,26.55,26.55,26.75,12.97,3114300.0,83466000000.0
2023-03-10,TCB,27.6,27.0,27.5,27.15,13.16,2129800.0,58084000000.0
2023-03-09,TCB,27.85,27.2,27.5,27.8,13.48,3286200.0,90335000000.0
2023-03-08,TCB,27.4,26.8,26.9,27.3,13.24,1945300.0,52528000000.0
