date,VPB_code,VPB_high,VPB_low,VPB_open,VPB_close,VPB_adjust,VPB_volume_match,VPB_value_match
2020-03-02,VPB,27.3,26.8,27.1,26.9,8.78,3124310.0,84404000000.0
2020-02-28,VPB,27.95,26.8,27.75,27.2,8.88,4992410.0,136221000000.0
2020-02-27,VPB,28.55,27.85,28.0,28.35,9.25,2905090.0,82050000000.0
2020-02-26,VPB,28.9,27.7,27.8,28.3,9.24,4144870.0,117648000000.0
2020-02-25,VPB,28.3,26.2,26.2,28.3,9.24,6045630.0,163432000000.0
2020-02-24,VPB,28.3,26.8,28.0,26.8,8.75,8083080.0,221539000000.0
2020-02-21,VPB,29.3,28.2,28.5,28.8,9.4,4755490.0,137418000000.0
2020-02-20,VPB,28.55,27.95,28.15,28.55,9.32,3989640.0,112682000000.0
2020-02-19,VPB,27.9,27.5,27.6,27.8,9.07,3026480.0,83776000000.0
2020-02-18,VPB,27.6,26.9,27.0,27.4,8.94,2659640.0,72632000000.0
2020-02-17,VPB,27.3,26.75,27.1,27.1,8.84,2799180.0,75440000000.0
2020-02-14,VPB,27.5,26.6,27.0,27.15,8.86,5754040.0,155711000000.0
2020-02-13,VPB,26.6,25.35,25.65,26.6,8.68,3721290.0,96235000000.0
2020-02-12,VPB,26.85,25.7,25.9,25.85,8.44,6169610.0,162116000000.0
2020-02-11,VPB,25.4,24.55,24.6,25.4,8.29,4954840.0,123629000000.0
2020-02-10,VPB,25.3,24.6,24.8,24.6,8.03,4827980.0,120542000000.0
2020-02-07,VPB,25.65,24.9,25.1,25.35,8.27,5941140.0,150940000000.0
2020-02-06,VPB,25.5,23.55,25.5,25.5,8.32,8466820.0,209160000000.0
2020-02-05,VPB,24.6,23.75,23.85,24.15,7.88,6401650.0,154361000000.0
2020-02-04,VPB,23.45,22.5,22.7,23.45,7.65,4567030.0,105500000000.0
2020-02-03,VPB,23.45,21.25,22.6,22.6,7.38,4531780.0,99809000000.0
2020-01-31,VPB,23.1,22.45,22.5,22.45,7.33,4664680.0,106031000000.0
2020-01-30,VPB,23.4,22.35,23.0,22.7,7.41,4277050.0,98102000000.0
2020-01-22,VPB,23.8,23.1,23.5,23.6,7.7,2728060.0,64130000000.0
2020-01-21,VPB,23.6,22.6,22.7,23.55,7.69,5349510.0,125174000000.0
2020-01-20,VPB,22.5,21.75,21.8,22.5,7.34,2478120.0,54923000000.0
2020-01-17,VPB,22.15,21.7,21.95,21.9,7.15,2388200.0,52275000000.0
2020-01-16,VPB,21.95,21.65,21.7,21.85,7.13,2814400.0,61492000000.0
2020-01-15,VPB,21.7,21.15,21.15,21.65,7.07,2024320.0,43569000000.0
2020-01-14,VPB,21.3,20.65,20.7,21.15,6.9,2049630.0,43151000000.0
2020-01-13,VPB,21.15,20.6,21.0,20.6,6.72,1278670.0,26654000000.0
2020-01-10,VPB,21.3,20.75,20.75,21.05,6.87,3102860.0,65323000000.0
2020-01-09,VPB,20.8,20.25,20.3,20.75,6.77,3379270.0,69518000000.0
2020-01-08,VPB,20.35,19.9,20.15,20.1,6.56,2417600.0,48609000000.0
2020-01-07,VPB,20.35,20.0,20.0,20.35,6.64,1298520.0,26247000000.0
2020-01-06,VPB,20.35,19.95,20.15,19.95,6.51,1655410.0,33392000000.0
2020-01-03,VPB,20.95,20.35,20.6,20.4,6.66,1416280.0,29101000000.0
2020-01-02,VPB,20.7,20.05,20.05,20.55,6.71,1721220.0,35235000000.0
2019-12-31,VPB,20.15,19.8,19.8,20.0,6.53,2806420.0,56137000000.0
2019-12-30,VPB,19.95,19.7,19.7,19.8,6.46,2141690.0,42512000000.0
2019-12-27,VPB,19.75,19.5,19.7,19.7,6.43,1797050.0,35243000000.0
2019-12-26,VPB,19.75,19.5,19.55,19.7,6.43,1151860.0,22608000000.0
2019-12-25,VPB,19.65,19.4,19.4,19.55,6.38,1507470.0,29453000000.0
2019-12-24,VPB,19.4,19.15,19.35,19.3,6.3,1781170.0,34258000000.0
2019-12-23,VPB,19.65,19.25,19.6,19.35,6.32,2875410.0,55874000000.0
2019-12-20,VPB,19.6,19.15,19.2,19.6,6.4,1853360.0,35798000000.0
2019-12-19,VPB,19.3,19.05,19.2,19.2,6.27,2009470.0,38518000000.0
2019-12-18,VPB,19.4,19.2,19.2,19.25,6.28,1037840.0,20027000000.0
2019-12-17,VPB,19.7,19.25,19.7,19.3,6.3,685290.0,13298000000.0
2019-12-16,VPB,19.75,19.25,19.5,19.6,6.4,1273040.0,24762000000.0
2019-12-13,VPB,19.95,19.65,19.75,19.65,6.41,971530.0,19225000000.0
